doc_type;count;mean_paras;mean_wc;min_date;max_date;en_share
Press release;49391;17,330;523,090;1985-01-04;2023-12-30;98,280
Speech;22542;41,230;1496,140;1985-02-25;2023-12-22;87,030
Daily news;5552;20,810;2213,860;2001-01-11;2023-12-22;71,190
Statement;3226;13,570;605,320;2014-02-10;2023-12-27;96,220
News;813;8,600;421,630;2014-11-06;2023-12-19;95,690
Questions and answers;716;37,400;2246,030;2019-05-21;2023-12-21;100,000
Commissioners' weekly meeting;105;11,660;640,790;2014-11-05;2021-12-23;99,050
Read-out;25;16,280;725,480;2020-02-19;2023-05-03;100,000
Country insights;21;38,760;2571,290;2019-05-29;2022-10-12;100,000
Infringement decisions;20;53,250;5758,600;2022-04-06;2023-12-21;100,000
Totals/Averages;82411;25,889;1720,223;1985-01-04;2023-12-30;94,746
